userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
2cb3d8e191c854943546778032e0858d9f3558be52a2f74d0688ce6ab324fd21,2cb3d8e191c854943546778032e0858d9f3558be52a2f74d0688ce6ab324fd21,2cb3d8e191c854943546778032e0858d9f3558be52a2f74d0688ce6ab324fd21,★москва,ой всё,,243,442,2013-12-22,ru
2263064f8c6b811b350ee05a1f00d82ba82013bd0d01d18630b530d6dde400a6,2263064f8c6b811b350ee05a1f00d82ba82013bd0d01d18630b530d6dde400a6,2263064f8c6b811b350ee05a1f00d82ba82013bd0d01d18630b530d6dde400a6,МSK,"Все по теме:; Вязание на спицах и крючком ,",,851,20,2013-12-20,en
43b16bddd1f717e5671deb378a5bcae8ca8ce3d6d5d160b1bad0431afadc374d,43b16bddd1f717e5671deb378a5bcae8ca8ce3d6d5d160b1bad0431afadc374d,43b16bddd1f717e5671deb378a5bcae8ca8ce3d6d5d160b1bad0431afadc374d,Ростов,"Здесь Ростов, Москва, Екатеринбург, давай делай шире круг",,187,364,2013-12-23,ru
7f39b9841b3b2732f76344523554c7657f07c701f5dd3af5e28b2f8192403ad8,7f39b9841b3b2732f76344523554c7657f07c701f5dd3af5e28b2f8192403ad8,7f39b9841b3b2732f76344523554c7657f07c701f5dd3af5e28b2f8192403ad8,,"raw vegan, started at 60, now 72",,100,100,2013-08-19,en
f7b264822bb1c24215aa79aed026c6e3d720c767436585abef2d29cead1b113b,f7b264822bb1c24215aa79aed026c6e3d720c767436585abef2d29cead1b113b,f7b264822bb1c24215aa79aed026c6e3d720c767436585abef2d29cead1b113b,New-York,"Love music, mouvies and books",,160,340,2013-12-22,en
0cd29639b180c0eb8808d6b29c7e23b9c118678fd77e56c4150c542ca28a50f8,0cd29639b180c0eb8808d6b29c7e23b9c118678fd77e56c4150c542ca28a50f8,0cd29639b180c0eb8808d6b29c7e23b9c118678fd77e56c4150c542ca28a50f8,Челны,Казанский (Приволжский) федеральный университет,,201,245,2013-08-05,en
d5a47dddd77b53c4bf88c26039b728ee144a88e51176f7775c5a370e588fe784,d5a47dddd77b53c4bf88c26039b728ee144a88e51176f7775c5a370e588fe784,d5a47dddd77b53c4bf88c26039b728ee144a88e51176f7775c5a370e588fe784,Санкт-Петербург,"Получаю образование, радуюсь жизни, отдыхаю",,992,398,2012-08-21,ru
2f56d16494fe89ee72edb5039babe011d0278493fa1bc3baeb1fb1051acbce79,2f56d16494fe89ee72edb5039babe011d0278493fa1bc3baeb1fb1051acbce79,2f56d16494fe89ee72edb5039babe011d0278493fa1bc3baeb1fb1051acbce79,US,Bossy,,59,64,2014-05-10,en
58311d0562ab658c17c653bf5087fe5f6049892cccea1941dff17eb4301559c5,58311d0562ab658c17c653bf5087fe5f6049892cccea1941dff17eb4301559c5,58311d0562ab658c17c653bf5087fe5f6049892cccea1941dff17eb4301559c5,Atlanta,Student,,62,186,2014-06-07,en
ca5b1cc2653463ea1307845e3ea22cc6e255c840d3707fb927128621bf923a6a,ca5b1cc2653463ea1307845e3ea22cc6e255c840d3707fb927128621bf923a6a,ca5b1cc2653463ea1307845e3ea22cc6e255c840d3707fb927128621bf923a6a,Украина,"#Мужчины, #воспитаниеребенка, #кино, #литература, #мода, #приготовление #еды, #спорт, #театр",http://t.co/qY9zRGlAcY,661,1736,2013-12-19,ru
4d198cab126a6a8252da036a5a0be15b49ef5541c10c655e629c5185548d1524,4d198cab126a6a8252da036a5a0be15b49ef5541c10c655e629c5185548d1524,4d198cab126a6a8252da036a5a0be15b49ef5541c10c655e629c5185548d1524,,,,375,387,2014-09-03,en
638310fbca52c163321bdb774e7a254a97b2c5b7e8fa5aaa2cfc7ddd432ce0db,638310fbca52c163321bdb774e7a254a97b2c5b7e8fa5aaa2cfc7ddd432ce0db,638310fbca52c163321bdb774e7a254a97b2c5b7e8fa5aaa2cfc7ddd432ce0db,Germany,Selbstentfalltun ist das wchtigste.,,34,195,2015-12-14,de
d50a05f3c6aa99eab878a35c4b51a7be31c62dbe8f936bd8bf2b33c44d3b8eba,d50a05f3c6aa99eab878a35c4b51a7be31c62dbe8f936bd8bf2b33c44d3b8eba,d50a05f3c6aa99eab878a35c4b51a7be31c62dbe8f936bd8bf2b33c44d3b8eba,"Washington, D.C.",,,55,137,2013-12-11,en
9e827f2f43a01a51fdc99204bd51a3385dff6121dcde724293d5fcf69a464c85,9e827f2f43a01a51fdc99204bd51a3385dff6121dcde724293d5fcf69a464c85,9e827f2f43a01a51fdc99204bd51a3385dff6121dcde724293d5fcf69a464c85,Boston,,,52,81,2014-03-21,en
22954a99222f0f95f64273d80581dcebc3c0205f9bd66a88e36a3ba3b46bc9df,22954a99222f0f95f64273d80581dcebc3c0205f9bd66a88e36a3ba3b46bc9df,22954a99222f0f95f64273d80581dcebc3c0205f9bd66a88e36a3ba3b46bc9df,SF,You miss 100% of the shots you don’t take.,,47,199,2014-06-22,en
991845a5adaddd317bbe92e3263675a822a9e20a1d9d60ebbd63d6fd8ee11d13,991845a5adaddd317bbe92e3263675a822a9e20a1d9d60ebbd63d6fd8ee11d13,991845a5adaddd317bbe92e3263675a822a9e20a1d9d60ebbd63d6fd8ee11d13,Краснодар,Марсообожатель,,592,1474,2014-03-20,en
